league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28-327,1995,11,760,69,40.2,8.4,9,80,6,2,21,8,1.27,11,14,-3,-0.36,-0.59,9.6,12.9,-3.3,-0.39,-0.27
ESP-La Liga,2324,Getafe,Enes Ünal,TUR,"FW,MF",26-266,1997,3,140,47,7.4,1.6,1,90,1,2,25,1,1.0,2,3,-1,-0.64,-0.69,1.6,2.1,-0.5,-0.33,-0.1
ESP-La Liga,2324,Getafe,Fabrizio Angileri,ARG,"DF,MF",29-322,1994,6,98,16,5.2,1.1,1,64,0,5,7,13,2.0,4,5,-1,-0.92,-0.97,1.7,2.0,-0.3,-0.26,-0.02
ESP-La Liga,2324,Getafe,Facundo Esnáider,ESP,MF,,,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Getafe,Gastón Álvarez,URU,DF,23-313,2000,19,1475,78,78.0,16.4,17,86,14,2,7,1,1.47,18,21,-3,-0.18,-0.83,19.5,22.5,-2.9,-0.18,0.25
ESP-La Liga,2324,Getafe,Gorka Rivera Alonso,ESP,DF,19-183,2004,1,3,3,0.2,0.0,0,,0,1,3,3,0.0,0,0,0,0.0,0.0,0.0,0.2,-0.2,-7.41,-7.19
ESP-La Liga,2324,Getafe,Iglesias,ESP,"DF,FW",25-212,1998,15,890,59,47.1,9.9,9,81,5,6,27,5,1.38,9,11,-2,-0.2,-0.38,10.1,12.3,-2.2,-0.22,0.03
ESP-La Liga,2324,Getafe,Jaime Mata,ESP,"MF,FW",35-099,1988,18,850,47,45.0,9.4,12,65,2,6,12,1,1.61,14,14,0,0.0,0.0,9.6,15.4,-5.8,-0.61,-0.68
ESP-La Liga,2324,Getafe,Jesús Santiago,ESP,MF,19-251,2004,1,80,80,4.2,0.9,1,80,0,0,,1,3.0,2,0,2,2.25,2.35,1.3,1.8,-0.5,-0.57,-0.35
ESP-La Liga,2324,Getafe,John Joe,IRL,MF,20-099,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP-La Liga,2324,Getafe,Jordi,ESP,MF,23-026,2001,4,206,52,10.9,2.3,2,76,0,2,27,7,1.75,6,1,5,2.18,2.45,4.2,2.5,1.7,0.74,1.09
ESP-La Liga,2324,Getafe,Jorge Benito,ESP,GK,18-030,2006,0,,,,,0,,0,0,,12,,,,,,,,,,,
ESP-La Liga,2324,Getafe,Juanmi Latasa,ESP,FW,22-314,2001,19,1030,54,54.5,11.4,11,74,3,8,27,1,1.37,14,14,0,0.0,0.0,13.6,15.0,-1.4,-0.12,0.25
ESP-La Liga,2324,Getafe,Luis Milla,ESP,MF,29-116,1994,10,718,72,38.0,8.0,8,84,4,2,23,0,1.5,12,12,0,0.0,0.0,11.9,10.7,1.2,0.16,0.63
ESP-La Liga,2324,Getafe,Mason Greenwood,ENG,"MF,FW",22-122,2001,17,1246,73,65.9,13.8,14,83,7,3,27,0,1.47,22,18,4,0.29,0.85,18.0,18.5,-0.5,-0.03,0.59
ESP-La Liga,2324,Getafe,Mauro Arambarri,URU,MF,28-123,1995,7,339,48,17.9,3.8,3,70,1,4,32,0,1.0,4,6,-2,-0.53,-0.65,3.2,4.6,-1.4,-0.38,-0.18
ESP-La Liga,2324,Getafe,Nabil Aberdin,FRA,DF,21-161,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Getafe,Nemanja Maksimović,SRB,MF,29-005,1995,21,1875,89,99.2,20.8,21,89,19,0,,0,1.38,26,28,-2,-0.1,-12.1,23.0,29.2,-6.2,-0.3,-7.39
ESP-La Liga,2324,Getafe,Omar Alderete,PAR,DF,27-036,1996,15,820,55,43.4,9.1,9,75,6,6,24,3,1.31,15,12,3,0.33,0.58,11.6,13.0,-1.4,-0.16,0.14
ESP-La Liga,2324,Getafe,Portu,ESP,FW,31-255,1992,3,97,32,5.1,1.1,0,,0,3,32,0,1.33,1,1,0,0.0,0.0,1.8,1.8,0.0,-0.01,0.24
ESP-La Liga,2324,Getafe,Santiago García,,FW,22-155,2001,1,25,25,1.3,0.3,0,,0,1,25,1,0.0,0,0,0,0.0,0.0,0.3,0.3,0.0,-0.03,0.2
ESP-La Liga,2324,Getafe,Stefan Mitrović,SRB,DF,33-254,1990,11,699,64,37.0,7.8,9,75,5,2,11,10,1.18,9,11,-2,-0.26,-0.41,5.8,9.4,-3.6,-0.46,-0.36
ESP-La Liga,2324,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",25-217,1998,12,315,26,16.7,3.5,2,49,0,10,22,4,1.5,8,2,6,1.71,2.06,4.4,2.5,2.0,0.56,0.95
